2016-03-26:13-12-01|23.90:43.30::399
2016-03-26:13-13-01|23.90:43.50::448
2016-03-26:13-14-02|23.90:43.50::380
2016-03-26:13-15-01|23.90:43.20::345
2016-03-26:13-16-01|23.80:43.40::326
2016-03-26:13-17-01|23.80:43.50::332
2016-03-26:13-18-02|23.80:43.30::383
2016-03-26:13-19-01|23.80:43.40::360
2016-03-26:13-20-01|23.80:43.60::380
2016-03-26:13-21-01|23.80:43.50::406
2016-03-26:13-22-01|23.80:43.60::418
2016-03-26:13-23-02|23.70:43.00::430
2016-03-26:13-24-01|23.70:43.50::452
2016-03-26:13-25-01|23.70:43.50::452
2016-03-26:13-26-01|23.80:43.70::465
2016-03-26:13-27-01|23.80:43.60::501
2016-03-26:13-28-01|23.80:43.50::499
2016-03-26:13-29-01|23.80:43.30::484
2016-03-26:13-30-01|23.80:43.50::500
2016-03-26:13-31-01|23.80:43.50::442
2016-03-26:13-32-01|23.80:43.60::465
2016-03-26:13-33-02|23.80:43.50::481
2016-03-26:13-34-01|23.80:43.40::512
2016-03-26:13-35-01|23.80:43.30::562
2016-03-26:13-36-01|23.80:43.30::678
2016-03-26:13-37-01|23.80:43.40::541
2016-03-26:13-38-01|23.80:43.40::483
2016-03-26:13-39-01|23.80:43.30::403
2016-03-26:13-40-01|23.80:43.60::367
2016-03-26:13-41-01|23.80:43.40::355
2016-03-26:13-42-01|23.80:43.40::376
2016-03-26:13-43-01|23.80:43.40::386
2016-03-26:13-44-01|23.80:43.30::364
2016-03-26:13-45-01|23.80:43.50::377
2016-03-26:13-46-01|23.80:43.60::405
2016-03-26:13-47-01|23.80:43.50::342
2016-03-26:13-48-01|23.70:43.50::381
2016-03-26:13-49-01|23.70:43.40::390
2016-03-26:13-50-01|23.70:43.50::377
2016-03-26:13-51-01|23.70:43.40::377
2016-03-26:13-52-01|23.70:43.40::371
2016-03-26:13-53-01|23.70:43.50::368
2016-03-26:13-54-01|23.70:43.50::367
2016-03-26:13-55-01|23.70:43.40::375
2016-03-26:13-56-01|23.70:43.50::366
2016-03-26:13-57-01|23.70:43.40::370
2016-03-26:13-58-01|23.70:43.40::367
2016-03-26:13-59-01|23.70:43.40::407
2016-03-26:14-00-01|23.70:43.40::411
2016-03-26:14-01-01|23.70:43.50::365
2016-03-26:14-02-02|23.70:43.60::377
2016-03-26:14-03-01|23.70:43.60::399
2016-03-26:14-04-01|23.70:43.60::413
2016-03-26:14-05-01|23.60:43.50::444
2016-03-26:14-06-02|23.60:43.60::508
2016-03-26:14-07-01|23.60:43.80::598
2016-03-26:14-08-01|23.60:43.80::604
2016-03-26:14-09-01|23.70:43.80::560
2016-03-26:14-10-01|23.60:43.60::483
2016-03-26:14-11-01|23.60:43.50::486
2016-03-26:14-12-01|23.60:43.40::424
2016-03-26:14-13-01|23.60:43.80::466
2016-03-26:14-14-01|23.60:43.90::450
2016-03-26:14-15-01|23.60:43.70::447
2016-03-26:14-16-01|23.60:44.20::390
2016-03-26:14-17-01|23.70:44.80::373
2016-03-26:14-18-01|23.70:44.80::354
2016-03-26:14-19-01|23.70:44.80::356
2016-03-26:14-20-01|23.70:44.60::383
2016-03-26:14-21-01|23.80:44.10::423
2016-03-26:14-22-01|23.70:44.30::569
2016-03-26:14-23-01|23.80:44.40::700
2016-03-26:14-24-01|23.80:44.40::625
2016-03-26:14-25-01|23.80:44.40::601
2016-03-26:14-26-01|23.80:44.40::676
2016-03-26:14-27-01|23.90:45.60::1375
2016-03-26:14-28-01|23.80:45.50::885
2016-03-26:14-29-01|23.90:45.40::745
2016-03-26:14-30-01|23.80:45.30::499
2016-03-26:14-31-01|23.90:45.80::475
2016-03-26:14-32-01|23.90:45.70::469
2016-03-26:14-33-01|23.90:46.00::384
2016-03-26:14-34-02|23.90:46.00::378
2016-03-26:14-35-01|23.90:46.00::399
2016-03-26:14-36-01|23.90:46.00::421
2016-03-26:14-37-01|23.90:46.10::436
2016-03-26:14-38-02|23.90:46.30::461
2016-03-26:14-39-01|23.90:46.20::433
2016-03-26:14-40-01|24.00:46.40::438
2016-03-26:14-41-01|24.00:46.40::463
2016-03-26:14-42-01|24.00:46.40::459
2016-03-26:14-43-01|24.00:46.30::470
2016-03-26:14-44-01|24.00:46.20::538
2016-03-26:14-45-01|24.00:46.40::609
2016-03-26:14-46-01|24.00:46.50::602
2016-03-26:14-47-01|24.00:46.20::603
2016-03-26:14-48-01|24.00:46.10::654
2016-03-26:14-49-01|24.00:46.30::671
2016-03-26:14-50-01|24.00:46.60::914
2016-03-26:14-51-01|24.00:46.60::1852
2016-03-26:14-52-01|24.00:46.40::1414
2016-03-26:14-53-01|24.00:46.10::2454
2016-03-26:14-54-01|24.10:46.20::0
2016-03-26:14-55-01|24.10:45.90::1873
2016-03-26:14-56-01|24.20:46.10::2007
2016-03-26:14-57-01|24.20:46.00::1273
2016-03-26:14-58-01|24.20:45.90::993
2016-03-26:14-59-01|24.20:46.00::0
2016-03-26:15-00-01|24.20:43.70::0
2016-03-26:15-01-01|24.30:45.50::0
2016-03-26:15-02-01|24.50:45.00::0
2016-03-26:15-03-02|24.60:45.10::0
2016-03-26:15-04-01|24.80:45.10::0
2016-03-26:15-05-01|24.90:43.80::1746
2016-03-26:15-06-01|24.80:43.40::1068
2016-03-26:15-07-02|24.70:43.80::2467
2016-03-26:15-08-01|24.60:44.30::0
2016-03-26:15-09-01|24.60:44.60::1912
2016-03-26:15-10-01|24.60:44.90::2265
2016-03-26:15-11-01|24.50:44.70::0
2016-03-26:15-12-01|24.50:44.60::0
